,MOLECULES,OUTCOME
43,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,1
44,COc1c(Cl)c(Cl)c([N+](=O)[O-])c(Cl)c1Cl,0
45,O=c1ccc(=O)[nH][nH]1,0
46,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,0
47,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1
48,CC1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1
49,Cc1cc(C)c(N)cc1C,1
50,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1
51,CN(C)C(=O)Nc1ccc(Cl)cc1,1
52,ClC(Cl)C(Cl)(Cl)Cl,0
53,FC(Cl)C(F)(F)F,0
54,C=C(F)F,0
55,C1C2OC2C2C1C1CC2C2OC12,0
56,ClCC1CO1,1
57,NNC(N)=S,0
58,CC(=O)Oc1ccccc1C(=O)O,0
59,O=C1c2ccccc2C(=O)c2c(O)cccc21,1
60,CC(=O)CN(N=O)C(N)=O,0
61,Nc1ccc2nc3ccccn3c2n1,1
62,Nc1ccc(Cl)cc1N,1
63,O=NN1CCCCC1c1cccnc1,1
64,CCCCCCCCCCCCCCCC(=O)CC(=O)CCCCCCCCCCCCCCC,0
65,C=CCl,1
66,COC(C)(C)C,1
67,Nc1ccc(N)cc1,0
68,CCCCCCCCCCCCCCN(C)N=O,1
69,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,0
70,COc1ccc(N)c(C)c1,1
71,COc1ccccc1[N+](=O)[O-],1
72,ClCC(Cl)CCl,1
73,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1
74,CNC(=N)N,0
75,OCC(CO)(CBr)CBr,1
76,O=C1OC(C(O)CO)C(O)=C1O,0
77,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
78,Cc1c(-c2cnccn2)ssc1=S,0
79,COC(=O)C(C)(C)Oc1ccc(-c2ccc(Cl)cc2)cc1,1
80,C=CC(=O)NCO,0
81,Cc1cc(O)ccc1O,0
82,CCCCNC(N)=O,0
83,CN(N=O)c1ccncc1,0
84,CS(=O)(=O)OCCCCOS(C)(=O)=O,0
85,CCOc1ccc(NC(C)=O)cc1,1
86,CNNCc1ccc(C(=O)NC(C)C)cc1,1
87,CCNNC(=O)C1C(c2cc(OC)c(OC)c(OC)c2)c2cc3c(cc2C(O)C1CO)OCO3,0
88,CC1=C2C(=COC(C)C2C)C(O)=C(C(=O)O)C1=O,1
89,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,1
90,OCC1CO1,1
91,O=[N+]([O-])c1ccc2c3c(cccc13)CC2,1
92,CC(C)=NNc1ncc(-c2ccc([N+](=O)[O-])o2)s1,1
93,COC(=O)C1C2CC3c4[nH]c5ccccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,0
94,O=C1NS(=O)(=O)c2ccccc21,0
95,NC(=O)N(CCF)N=O,1
96,O=NN1CCNCC1,1
97,CNC(=O)Oc1cccc2ccccc12,1
98,CC(C)OC(=O)Nc1cccc(Cl)c1,0
99,CC(=O)CN(C)N=O,1
100,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0
101,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C)=CC21,0
102,FC(Cl)(Cl)Cl,0
103,ClC(Cl)=C(Cl)Cl,1
104,FC(F)(F)CCl,1
105,O=[N+]([O-])c1ccc(Cl)cc1,0
106,CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2,1
107,CC1CC2(OC2C)C(=O)OC2CCN(C)C/C=C(/COC(=O)C1(C)O)C2=O,1
108,COc1cc(C=CC(=O)OCCc2ccccc2)ccc1O,0
109,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,0
110,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0
111,CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0
112,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,0
113,CN=[N+](C)[O-],1
114,COc1cc(OC)c2c3c(c(=O)oc2c1)CCC3,0
115,NCC(=O)O,1
116,CN(C#N)N=O,1
117,BrC(Br)Br,1
118,CCCCN(CCCCO)N=O,1
119,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,1
120,CC(C)(CO)CCCCCCC(C)(C)CO,0
121,CC(C)(C)O,1
122,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0
123,CC(N)=O,1
124,C=CCN(CC(O)CO)N=O,1
125,c1ccc(N=Nc2ccccc2)cc1,1
126,Cc1ccc(NC(N)=O)cc1,0
127,CC(O)CO,0
128,CN(CCCO)N=O,1
129,Nc1ccc([N+](=O)[O-])cc1O,1
130,CCC1(c2ccccc2)C(=O)NCNC1=O,0
131,Cc1ccc([N+](=O)[O-])cc1N,0
132,O=NN1CCCCC1C(=O)O,0
133,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,0
134,O=CNNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1
135,Cc1cnc2ccc3c(nc(N)n3C)c2n1,1
136,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,1
137,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0
138,OCC(O)C(O)C(O)C(O)CO,0
139,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCC(O)C(C)(C)O,0
140,CCN(CC(F)(F)F)N=O,1
141,CC1CN(N=O)CC(C)N1C(=O)c1ccccc1,1
142,CN(C)N=Nc1nc[nH]c1C(N)=O,1
143,CSCCC(N)C(=O)O,0
144,CC(C)[N+](=O)[O-],0
145,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1
146,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1
147,CCCCN(N=O)C(=N)N[N+](=O)[O-],0
148,CC(O)CN(CC(O)CO)N=O,1
149,CN(CCCC(=O)c1cccnc1)N=O,1
150,CCNC(=S)NCC,1
151,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,1
152,CN(N=O)c1ccc(N=O)cc1,1
153,CCN(N=O)C(=O)NCC(C)=O,1
154,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1
155,ClC(Cl)Br,1
156,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,0
157,O=C(O)CCl,0
158,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1
159,c1ccc(OCC2CO2)cc1,1
160,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl,0
161,CC(F)(Cl)Cl,1
162,O=S1(=O)CCCO1,1
163,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0
164,O=NN1CCCN(N=O)CC1,1
165,NC(=S)Nc1ccccc1,0
166,CCN(N=O)C(N)=O,1
167,CCCCCCCCCCN(C)N=O,1
168,CC(=O)N(C)C,0
169,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1
170,CC=NO,0
171,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O,0
172,Cn1cnc2nc(N)[nH]c(=O)c21,0
173,ClC(Br)Br,0
174,CN(N=O)c1ccc(F)cc1,1
175,CN(CCO)N=O,1
176,CCOc1ccc(NC(N)=O)cc1,1
177,CCSCCC(N)C(=O)O,1
178,O=c1[nH]cc(F)c(=O)[nH]1,0
179,Oc1cccc(O)c1,0
180,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0
181,Nc1ccc2c(c1)oc1ccccc12,1
182,C1CNCCN1,0
183,S=c1[nH]cnc2[nH]cnc12,0
184,O=C(Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1)C(F)(F)F,1
185,CN(N=O)C(=O)c1c(N(C)N=O)ncn1C,1
186,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1,0
187,CC1CO1,1
188,CN(N=O)C(=O)c1ccccc1C(=O)N(C)N=O,0
189,CN(N=O)c1cccnc1,0
190,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0
191,NC(=O)Cc1c([O-])on[n+]1Cc1ccccc1,1
192,CC(O)COC(C)(C)C,0
193,S=C=NCCCc1ccccc1,0
194,C=CCN(CC=C)N=O,1
195,CC1CC(=O)O1,1
196,OCCN(CCO)CCO,0
197,COC(N)=O,1
198,NCCCCCCCCCCC(=O)O,1
199,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0
200,NC(=O)CCCCC(N)=O,0
201,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1
202,Cc1ccc(C)c(C)c1,1
203,CC(C)N=[N+]([O-])C(C)C,1
204,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,0
205,C=C(C)C#N,0
206,CC(=O)Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1
207,Nc1ccc(NCCO)c([N+](=O)[O-])c1,0
208,CNCc1ccc(CSCCNC(=NS(C)(=O)=O)NCC(O)c2ccc(O)cc2)o1,0
209,CBr,0
210,Nc1nc(N)nc(-c2ccccc2)n1,0
211,O=NN1CSCSC1,0
212,CC1SC(C)N(N=O)C(C)S1,1
213,CN(CCCl)CCCl,1
214,Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,1
215,NC(=O)N(CCCO)N=O,1
216,ClC(Cl)Cl,1
217,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0
218,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,1
219,Nc1ccc(-c2ccc(N)cc2)cc1,1
220,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1
221,Oc1ccc(Cl)cc1Cl,0
222,C=CC=O,0
223,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1
224,Cc1ccc2c(-c3cccc(O)c3)nc(=O)n(C(C)C)c2c1,0
225,CC1=CC(=O)CC(C)(C)C1,1
226,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl,0
227,Nc1ccc(Oc2ccc(N)cc2)cc1,1
228,COc1cc(OC)c2c3c(c(=O)oc2c1)C(=O)CC3,0
229,CC(C)(C)c1cc(CO)cc(C(C)(C)C)c1O,0
230,O=C1CC(=O)NC(=O)N1,0
231,S=C(SN1CCOCC1)N1CCOCC1,1
232,C=CCOC(=O)CC(C)C,1
233,CC=C1CC(C)C(C)(O)C(=O)OC/C2=C/CN(C)CCC(OC1=O)C2=O,1
234,Nc1cc(Cl)c(N)c(Cl)c1,0
235,O=NN1CCCCCCCCCCCC1,1
236,C=CC(N)=O,1
237,ClCOCCl,1
238,CCCl,0
239,Nc1cc(Cl)cc(C(=O)O)c1Cl,0
240,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1,0
241,O=Cc1ccccc1,0
242,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1
243,Nc1ccc(N)c([N+](=O)[O-])c1,0
244,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0
245,O=Cc1ccco1,1
246,NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,1
247,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,0
248,c1ccc2occc2c1,1
249,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,0
250,C1CO1,1
251,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1
252,Cc1ncc([N+](=O)[O-])n1C,1
253,COc1ccccc1N1CCN(CCCNc2cc(=O)n(C)c(=O)n2C)CC1,0
254,CC12CC(=CO)C(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O,1
255,Nc1ccc(Sc2ccc(N)cc2)cc1,1
256,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CC[N+]3([O-])CCC(OC1=O)C23,1
257,CCOC(=O)C=CC(=O)OCC,0
258,CC1CC(C)CN(S(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)C1,1
259,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0
260,Cc1ccc(O)c(C(C)(C)C)c1,0
261,CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,0
262,CC=O,1
263,Nc1ccc(-c2ccccc2)cc1O,0
264,O=C(CCl)c1ccccc1,0
265,Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,0
266,C=CBr,1
267,Cc1ccc2c(c1)C(N1CCN(C)CC1)=Nc1ccccc1S2,0
268,NC(=O)c1cnccn1,0
269,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1
270,CN1C(=O)OC(C)(C)C1=O,0
271,O=c1cc[nH]c(=O)[nH]1,1
272,O=C(c1ccccc1)C(O)c1ccccc1,0
273,Oc1ccccc1,0
274,NC(=O)N(CCO)N=O,1
275,O=CC1CO1,0
276,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0
277,S=C=NCCc1ccccc1,0
278,CNC(=S)N(C)C,1
279,Nc1ccc2ccccc2c1,0
280,O=C1CCCCCN1,0
281,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,1
282,CN(C)c1ccc(N=Nc2ccccc2)cc1,1
283,Nc1nc(N)nc(N)n1,1
284,CC(=O)C(N=Nc1ccc(Cl)cc1Cl)C(=O)Nc1ccc(-c2ccc(NC(=O)C(N=Nc3ccc(Cl)cc3Cl)C(C)=O)c(C)c2)cc1C,0
285,O=C1CCCCC1,0
286,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,1
287,C=CC(=O)OCC,1
288,CCC(CC)C(=O)NC(N)=O,0
289,N#CC(C#N)=Cc1ccccc1Cl,0
290,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,0
291,CN(C)c1ccccc1,1
292,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,1
293,O=C(O)c1ccc(N=Nc2ccc(O)c(C(=O)O)c2)cc1,0
294,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0
295,CC(=O)Nc1ccc(-c2ccc(F)cc2)cc1,1
296,CCOC(N)=O,1
297,CCN=[N+](C)[O-],1
298,CCCCCCN(N=O)C(N)=O,1
299,COc1cc(S(C)=O)ccc1-c1nc2ccncc2[nH]1,1
300,COC1/C=C\OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C/C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,0
301,O=NN1CC=CCO1,1
302,Cc1cccc2cccnc12,0
303,Nc1ccc(N)c2c1C(=O)c1c(N)ccc(N)c1C2=O,1
304,O=NN1CCCN(N=O)C1,1
305,CCC[N+](=O)[O-],0
306,c1ccncc1,1
307,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,0
308,NC(=O)N(CC(=O)O)N=O,1
309,COc1cc(OC)c2c3c(c(=O)oc2c1)CCC3=O,0
310,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,0
311,O=C(O)C(Cl)Cl,1
312,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0
313,CC1(C)OC(=O)NC1=O,0
314,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0
315,S=C(NC1CCCCC1)NC1CCCCC1,0
316,C=CC=C,1
317,NC(=S)NNC(N)=S,0
318,ClCc1ccccc1,0
319,CCN(CC)CCOc1ccc(C(O)(Cc2ccc(OC)cc2)c2ccccc2)cc1,0
320,c1ccc(Nc2ccc3ccccc3c2)cc1,0
321,ClC1(Cl)C2(Cl)C3C4(Cl)C1(Cl)C1(Cl)C4(Cl)C(Cl)(Cl)C3(Cl)C21Cl,1
322,CC(C)O,0
323,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,0
324,CC(=O)Nc1nnc(-c2ccc([N+](=O)[O-])o2)s1,1
325,O=NN1CC=CCC1,1
326,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,1
327,O=CC=Cc1ccccc1,0
328,Nc1nc[nH]n1,1
329,C=CC=NO,0
330,CCCc1cc(=O)[nH]c(=S)[nH]1,1
331,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,1
332,CC(Cl)CCl,0
333,NNc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1
334,CC(=O)NCc1nc(-c2ccc([N+](=O)[O-])o2)no1,1
335,CC(C)(Oc1ccc(C2CC2(Cl)Cl)cc1)C(=O)O,1
336,Nc1cccc2c(N)cccc12,1
337,O=C(O)CC(O)(CC(=O)O)C(=O)O,0
338,NC(=S)NNC=O,0
339,CCN(CC)c1ccc(N=Nc2cc[n+]([O-])cc2)cc1,1
340,CC(=O)CN(N=O)C(=O)NCCCl,0
341,CN(C)C(=S)SSC(=S)N(C)C,0
342,CC(C)=CCl,1
343,O=CNNc1nc(-c2ccco2)cs1,0
344,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,1
345,CNC(=O)ON=C(SC)C(=O)N(C)C,0
346,CC1(C)C(=O)NC(=O)NC1=O,0
347,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1
348,CN(C)CCN(Cc1cccs1)c1ccccc1,0
349,O=[N+]([O-])C(Cl)(Cl)Cl,1
350,CCO,1
351,Cc1nc[nH]c1CSCCNC(=NC#N)N(C)N=O,0
352,O=C1OC(=O)c2ccccc21,0
353,C=C(Cl)Cl,0
354,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,1
355,Oc1c(Cl)cc(Cl)cc1Cl,1
356,NC1=NCN(C2OC(CO)C(O)C2O)C(=O)N1,0
357,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
358,Oc1ccccc1-c1ccccc1,1
359,CN(C)N=Nc1ccccc1,1
360,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,0
361,CCN(C#N)N=O,1
362,ON=C1C=CC(=NO)C=C1,1
363,C=CC(=O)c1ccc2c(c1)OCO2,0
364,O=C(O)c1cc(O)c(O)c(O)c1,0
365,O=[N+]([O-])c1ccc(-c2nc(N3CCOCC3)c3ccccc3n2)s1,1
366,ClC1C2(Cl)C3C4C5OC5C5C4C1(Cl)C(Cl)(C53)C2(Cl)Cl,0
367,COc1cccc(O)c1O,1
368,CCOC(=O)C1OC1(C)c1ccccc1,0
369,O=[N+]([O-])c1ccccc1,1
370,CC12CCC3c4ccc(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)cc4CCC3C1CCC2OC(=O)Cc1ccc(N(CCCl)CCCl)cc1,0
371,CC(O)CN(N=O)C(=O)NCCCl,1
372,CCCCN(N=O)C(N)=O,1
373,C=CCOCC1CO1,0
374,CN(C)CCN(Cc1ccco1)c1ccccn1,0
375,Oc1ccc2c(c1)OCO2,1
376,CC(=O)CN(CC(O)CO)N=O,1
377,Cc1ccc2ncccc2c1,0
378,FCC(F)(F)F,1
379,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1
380,CC(O)CNCC(C)O,0
381,Cc1ncc[nH]1,1
382,NC(=O)C(=Cc1ccc([N+](=O)[O-])o1)c1ccco1,1
383,C[N+](=O)[O-],1
384,CC(C)Oc1ccccc1OC(=O)N(C)N=O,1
385,CC1(C)C(=O)Nc2ccc(C3=NNC(=O)CC3)cc21,1
386,C=CCN(CC(C)=O)N=O,1
387,CN(N=O)c1ccccc1,1
388,O=S1(=O)CC=CC1,0
389,CC1CCCC(=O)CCC/C=C\c2cc(O)cc(O)c2C(=O)O1,0
390,C=CC(OCC)OCC,0
391,Oc1cccc2cccnc12,0
392,CC[N+](=O)[O-],0
393,O=NN1CCOC1=O,1
394,S=C=NCc1ccccc1,0
395,CCCN(CCC)c1ccc(N=Nc2cc[n+]([O-])cc2)cc1,0
396,O=C(O)CN(CC(=O)O)CC(=O)O,1
397,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,1
398,Nc1ncc([N+](=O)[O-])s1,1
399,CC[N+]([O-])=NC,1
400,O=[N+]([O-])c1cc(N(CCO)CCO)ccc1NCCO,0
401,CC=CC=O,1
402,CCN(CC)C(=O)c1cccc(C)c1,0
403,CC(O)CN(CC(C)O)N=O,1
404,N=C(N)Nc1nc(CSCCNc2nsnc2N)cs1,1
405,CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,0
406,CC1CN(N=O)CC(C)N1C,1
407,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1
408,OC(CNCCCl)C(O)C(O)C(O)CNCCCl,0
409,CC(=O)Nc1ccc(CC(=O)O)cc1,0
410,Oc1ccc2ccccc2c1N=Nc1ccccc1,1
411,OCCOCCO,1
412,CCCCCCCCCCCCC(=O)COC1=C(O)C(=O)OC1C(O)CO,0
413,CC1=C(CC(=O)O)c2cc(F)ccc2C1=Cc1ccc(S(C)(=O)=O)cc1,0
414,Clc1ccccc1,1
415,CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)C)C(C)O)C12,1
416,CNc1ccc(N(CCO)CCO)cc1[N+](=O)[O-],1
417,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CC1CC1,0
418,O=NN1CN2CN(C1)CN(N=O)C2,0
419,CCNc1nc(Cl)nc(NC(C)C)n1,1
420,O=NN(CCCl)C(=O)NC1C(O)OC(CO)C(O)C1O,1
421,CCCc1ccc2c(c1)OCO2,1
422,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,1
423,[N-]=[N+]=CC(=O)OCC(N)C(=O)O,1
424,CCCC[N+](=O)[O-],0
425,Nc1c(Cl)cc(Cl)cc1Cl,0
426,NC(=O)c1ccccc1C(N)=O,0
427,Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,0
428,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,1
429,Oc1ccc(Cl)cc1Cc1ccccc1,0
430,CC(=O)OC1CCC2(C)C(=CCC3C4CCC(=O)C4(C)CCC32)C1,1
431,CC1C/C=C\C=C/C=C\C=C/C(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3/C=C\C(=O)O1)CC(O)C2C(=O)O,0
432,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1
433,c1ccc2c(c1)Oc1ccccc1O2,0
434,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,0
435,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,0
436,COc1ccc([N+](=O)[O-])cc1N,1
437,O=NN1CCOC(O)C1,0
438,C=CC(=O)O,0
439,COc1cc(NC(=O)C(N=Nc2ccc(-c3ccc(N=NC(C(C)=O)C(=O)Nc4cc(OC)c(Cl)cc4OC)c(Cl)c3)cc2Cl)C(C)=O)c(OC)cc1Cl,0
440,C=CC#N,1
441,C=CCN(CC(C)O)N=O,1
442,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,0
443,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,1
444,CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21,0
445,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,0
446,CCCN=[N+]([O-])CCC,1
447,O=[N+]([O-])c1ccc(-c2cscn2)o1,1
448,CC1CCC(C(C)C)C(O)C1,0
449,CN(C)NC(=O)CCC(=O)O,1
450,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,0
451,C1CCNCC1,0
452,O=NN1CCC(=O)NC1=O,1
453,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,1
454,COc1ccc(O)cc1,1
455,COC(=O)C1=CCCN(N=O)C1,0
456,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,1
